Data File Name,nextera4_jlc_High Sensitivity DNA Assay_DE24802700_2016-11-10_11-15-46.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Thursday, November 10, 2016 7:15:46 PM",,
Date Last Modified,"Thursday, November 16, 2017 8:08:45 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,10,,
 ,,,
Sample Name,20161111,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
76.2,19.83075,,
76.25,20.19009,,
76.3,20.33654,,
76.35,20.24126,,
76.4,20.13506,,
76.45,20.17457,,
76.5,20.33214,,
76.55,20.41282,,
76.6,20.75305,,
76.65,20.92672,,
76.7,20.98664,,
76.75,21.25084,,
76.8,21.57274,,
76.85,21.93948,,
76.9,22.03013,,
76.95,22.02939,,
77,21.97272,,
77.05,21.96089,,
77.1,22.16382,,
77.15,22.49005,,
77.2,22.75992,,
77.25,22.77167,,
77.3,23.13315,,
77.35,23.18218,,
77.4,23.41288,,
77.45,23.2667,,
77.5,23.22614,,
77.55,23.02874,,
77.6,22.80407,,
77.65,22.78777,,
77.7,23.01802,,
77.75,23.36637,,
77.8,23.69625,,
77.85,23.92451,,
77.9,23.98872,,
77.95,23.94247,,
78,23.77802,,
78.05,23.60395,,
78.1,23.68375,,
78.15,24.00633,,
78.2,24.19333,,
78.25,24.03042,,
78.3,23.88771,,
78.35,23.72474,,
78.4,23.61706,,
78.45,23.87748,,
78.5,24.36862,,
78.55,24.76944,,
78.6,25.09544,,
78.65,25.08834,,
78.7,25.34927,,
78.75,25.76731,,
78.8,25.98516,,
78.85,26.42778,,
78.9,26.49884,,
78.95,26.33275,,
79,26.36592,,
79.05,26.54303,,
79.1,26.76118,,
79.15,27.03341,,
79.2,27.05909,,
79.25,26.92189,,
79.3,26.99884,,
79.35,26.83412,,
79.4,27.25936,,
79.45,27.61662,,
79.5,27.86185,,
79.55,27.82508,,
79.6,27.6449,,
79.65,27.47009,,
79.7,27.41613,,
79.75,27.6327,,
79.8,28.21031,,
79.85,28.91726,,
79.9,29.29872,,
79.95,29.49978,,
80,29.68346,,
80.05,29.82536,,
80.1,29.47956,,
80.15,29.59114,,
80.2,29.98707,,
80.25,30.20714,,
80.3,30.20685,,
80.35,30.07164,,
80.4,30.1014,,
80.45,30.27032,,
80.5,30.30827,,
80.55,30.53735,,
80.6,31.11355,,
80.65,31.37969,,
80.7,31.35424,,
