Data File Name,nk_03_06_2018_High Sensitivity DNA Assay_DE24802700_2018-03-06_15-11-01.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, March 06, 2018 11:11:01 PM"
Date Last Modified,"Tuesday, March 06, 2018 11:52:20 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
90.55,142.9887
90.6,191.3702
90.65,242.0979
90.7,291.8387
90.75,336.5329
90.8,373.9539
90.85,397.9742
90.9,406.9338
90.95,402.5411
91,386.1724
91.05,359.93
91.1,327.1713
91.15,291.1256
91.2,255.6494
91.25,221.2568
91.3,190.53
91.35,163.9783
91.4,140.8243
91.45,120.8525
91.5,104.5227
91.55,92.5813
91.6,82.9663
91.65,74.06709
91.7,66.52502
91.75,59.5174
91.8,52.83378
91.85,46.96264
91.9,42.26019
91.95,38.055
92,33.75111
92.05,29.33953
92.1,25.86014
92.15,22.54685
92.2,20.46905
92.25,18.78083
92.3,17.15979
92.35,15.18299
92.4,13.22549
92.45,11.48113
92.5,10.92812
92.55,9.970434
92.6,9.196474
92.65,8.196044
92.7,7.608099
92.75,7.095284
92.8,6.477591
92.85,5.910945
92.9,5.302852
92.95,4.496859
93,3.875052
93.05,3.414641
93.1,3.105149
93.15,2.763412
93.2,2.419916
93.25,2.170117
93.3,2.024078
93.35,1.76459
93.4,1.422672
93.45,1.024143
93.5,0.5516875
93.55,9.350334E-02
93.6,-0.214832
