Data File Name,NK_20170802_High Sensitivity DNA Assay_DE24802700_2017-08-02_11-26-52.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan,,
Date Created,"Wednesday, August 02, 2017 6:26:52 PM",,
Date Last Modified,"Wednesday, August 02, 2017 7:18:04 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
68.15,4.973958,,
68.2,4.908137,,
68.25,4.899019,,
68.3,4.864199,,
68.35,4.874197,,
68.4,5.184425,,
68.45,5.711404,,
68.5,5.883634,,
68.55,5.752391,,
68.6,5.355333,,
68.65,5.23653,,
68.7,5.140867,,
68.75,5.624452,,
68.8,6.149256,,
68.85,6.235268,,
68.9,6.023456,,
68.95,6.147121,,
69,6.323362,,
69.05,6.468029,,
69.1,6.618128,,
69.15,6.537117,,
69.2,6.491305,,
69.25,6.66768,,
69.3,6.733999,,
69.35,6.97107,,
69.4,7.078,,
69.45,7.231734,,
69.5,7.242708,,
69.55,7.066571,,
69.6,7.063338,,
69.65,7.24673,,
69.7,7.682298,,
69.75,8.187109,,
69.8,8.601553,,
69.85,8.410057,,
69.9,7.86061,,
69.95,7.622819,,
70,7.885118,,
70.05,8.356478,,
70.1,8.793245,,
70.15,8.875555,,
70.2,8.742596,,
70.25,8.933722,,
70.3,9.257283,,
70.35,9.549973,,
70.4,9.477335,,
70.45,9.373479,,
70.5,8.937428,,
70.55,9.150177,,
70.6,9.312618,,
70.65,9.574363,,
70.7,9.617114,,
70.75,9.409613,,
70.8,9.34882,,
70.85,9.373696,,
70.9,9.387559,,
70.95,9.217827,,
71,9.311823,,
71.05,9.436181,,
71.1,9.579528,,
71.15,9.626871,,
71.2,9.598573,,
71.25,9.562453,,
71.3,9.859821,,
71.35,10.27394,,
71.4,10.4693,,
71.45,10.5224,,
71.5,10.63932,,
71.55,10.69772,,
71.6,10.72988,,
71.65,10.69889,,
71.7,10.87327,,
71.75,10.99054,,
71.8,11.48925,,
71.85,11.81577,,
71.9,11.87935,,
71.95,11.91569,,
72,12.22175,,
72.05,12.56077,,
72.1,12.54742,,
72.15,12.56469,,
72.2,12.32456,,
72.25,12.30619,,
72.3,12.70115,,
72.35,13.07045,,
72.4,12.97247,,
72.45,13.06856,,
72.5,13.19867,,
72.55,13.43765,,
72.6,13.39259,,
72.65,13.17821,,
72.7,13.32064,,
72.75,13.44701,,
72.8,13.37442,,
72.85,13.34817,,
72.9,13.12656,,
72.95,12.90121,,
73,13.12059,,
73.05,13.76253,,
73.1,13.83007,,
73.15,13.45856,,
73.2,13.14692,,
73.25,13.38508,,
73.3,13.3839,,
73.35,13.79323,,
73.4,14.23499,,
73.45,14.09039,,
73.5,14.00231,,
73.55,13.71548,,
73.6,13.68551,,
73.65,13.73343,,
73.7,14.02224,,
73.75,14.3281,,
73.8,14.68753,,
73.85,15.0466,,
73.9,15.08457,,
73.95,14.84393,,
74,14.96222,,
74.05,15.38229,,
74.1,15.76376,,
74.15,15.71222,,
74.2,15.58553,,
74.25,15.19329,,
74.3,14.96453,,
74.35,15.32537,,
74.4,16.09877,,
74.45,16.7104,,
74.5,16.94501,,
74.55,16.82674,,
74.6,15.96295,,
74.65,15.6504,,
74.7,15.79913,,
74.75,16.36095,,
74.8,17.00199,,
74.85,17.38188,,
74.9,17.52075,,
74.95,17.47678,,
75,17.17163,,
75.05,16.41115,,
75.1,15.87825,,
75.15,16.16538,,
75.2,16.5274,,
75.25,16.85291,,
75.3,17.16996,,
75.35,17.42183,,
75.4,17.50179,,
75.45,17.58622,,
75.5,17.27673,,
75.55,16.99437,,
75.6,17.12513,,
75.65,17.61151,,
75.7,18.18634,,
75.75,18.256,,
75.8,18.40322,,
75.85,18.83321,,
75.9,19.39522,,
75.95,19.50473,,
76,19.30014,,
76.05,19.51336,,
76.1,19.83291,,
76.15,20.35692,,
76.2,20.70569,,
76.25,20.67715,,
76.3,20.17207,,
76.35,20.0555,,
76.4,20.24535,,
76.45,20.23362,,
76.5,20.56326,,
76.55,21.45123,,
76.6,22.01997,,
76.65,22.16193,,
76.7,22.1952,,
76.75,22.04817,,
76.8,22.01031,,
76.85,22.37065,,
76.9,22.89645,,
76.95,22.81501,,
77,22.66774,,
77.05,22.77264,,
77.1,22.3611,,
77.15,22.28455,,
77.2,22.11043,,
77.25,22.41091,,
77.3,22.35344,,
77.35,22.46841,,
77.4,22.53846,,
77.45,22.73478,,
77.5,23.33785,,
77.55,23.36562,,
77.6,23.63883,,
77.65,23.14733,,
77.7,22.56556,,
77.75,22.10801,,
77.8,22.10306,,
77.85,22.94715,,
77.9,24.445,,
77.95,25.15431,,
78,25.16359,,
78.05,25.03563,,
78.1,24.73079,,
78.15,24.52484,,
78.2,25.23924,,
78.25,25.84062,,
78.3,26.44772,,
78.35,26.80128,,
78.4,26.66695,,
78.45,26.62614,,
78.5,26.48711,,
78.55,26.56665,,
78.6,26.84749,,
78.65,27.27478,,
78.7,27.77778,,
78.75,28.1435,,
78.8,28.13307,,
78.85,27.41216,,
78.9,27.33492,,
78.95,27.25867,,
79,27.44261,,
79.05,27.57681,,
79.1,27.33702,,
79.15,27.34203,,
79.2,27.38231,,
79.25,27.63055,,
79.3,28.04463,,
79.35,28.34101,,
79.4,28.78011,,
79.45,28.62546,,
79.5,28.81487,,
79.55,29.00429,,
79.6,29.55057,,
79.65,30.39851,,
79.7,30.8524,,
79.75,30.65663,,
79.8,29.58813,,
79.85,28.38009,,
79.9,27.60815,,
79.95,27.46008,,
80,28.45457,,
80.05,29.97759,,
80.1,31.56505,,
80.15,32.62765,,
80.2,32.3443,,
80.25,32.03357,,
80.3,31.28618,,
80.35,31.18448,,
80.4,30.75924,,
80.45,31.07952,,
80.5,31.93914,,
80.55,32.46235,,
80.6,33.20259,,
80.65,33.18781,,
80.7,33.21738,,
80.75,33.5614,,
80.8,33.9179,,
80.85,33.8102,,
80.9,33.1648,,
80.95,32.78425,,
81,32.62634,,
81.05,33.48938,,
81.1,34.2654,,
81.15,34.57973,,
81.2,34.41787,,
81.25,33.92142,,
81.3,33.28859,,
81.35,33.54232,,
81.4,34.29211,,
81.45,34.40515,,
81.5,33.68824,,
81.55,33.80329,,
81.6,33.43043,,
