Data File Name,NK_JLC_NEXTERA1_High Sensitivity DNA Assay_DE24802700_2017-02-02_14-30-54.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan
Date Created,"Thursday, February 02, 2017 10:30:54 PM"
Date Last Modified,"Thursday, February 02, 2017 11:12:15 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
71.25,-1.421593
71.3,-1.419808
71.35,-1.408508
71.4,-1.400781
71.45,-1.261083
71.5,-1.102532
71.55,-0.9175584
71.6,-0.9295898
71.65,-1.046407
71.7,-1.241951
71.75,-1.360944
71.8,-1.314186
71.85,-1.190651
71.9,-1.053212
71.95,-0.9647925
72,-0.8861359
72.05,-0.8746956
72.1,-0.8278582
72.15,-0.8879024
72.2,-0.9218633
72.25,-0.8578875
72.3,-0.7733281
72.35,-0.7189888
72.4,-0.7006903
72.45,-0.6704847
72.5,-0.6730719
72.55,-0.6786954
72.6,-0.5696802
72.65,-0.4548138
72.7,-0.3878624
72.75,-0.3402003
72.8,-0.2327046
72.85,-0.2168995
72.9,-0.2544765
72.95,-0.3928587
73,-0.6182725
73.05,-0.7579917
73.1,-0.7512276
73.15,-0.6490788
73.2,-0.6074107
73.25,-0.531928
73.3,-0.4598051
73.35,-0.4974576
73.4,-0.4964688
73.45,-0.4503466
73.5,-0.4530046
73.55,-0.5262724
73.6,-0.6425406
73.65,-0.672016
73.7,-0.6959482
73.75,-0.6444774
73.8,-0.4916751
73.85,-0.4746766
73.9,-0.5146377
73.95,-0.4998449
74,-0.6538318
74.05,-0.7982435
74.1,-0.9071938
74.15,-0.9478747
74.2,-0.9450311
74.25,-0.8722036
74.3,-0.8111798
74.35,-0.8995253
74.4,-0.8895399
74.45,-0.8536987
74.5,-0.8411106
74.55,-0.7517181
74.6,-0.6119973
74.65,-0.5892584
74.7,-0.6502332
74.75,-0.6762344
74.8,-0.7193269
74.85,-0.7880094
74.9,-0.7207913
74.95,-0.7173856
75,-0.7920517
75.05,-0.6963418
75.1,-0.6128824
75.15,-0.6195355
75.2,-0.6486216
75.25,-0.701354
75.3,-0.6210644
75.35,-0.4510908
75.4,-0.3024873
75.45,-0.294976
75.5,-0.3777659
75.55,-0.4444709
75.6,-0.530711
75.65,-0.4066478
75.7,-0.3353783
75.75,-0.3566406
75.8,-0.2863982
75.85,-0.2629958
75.9,-0.1914446
75.95,-0.1445497
76,-0.1427227
76.05,-0.1505338
76.1,-0.1563308
76.15,-0.227155
76.2,-0.2528362
76.25,-0.1329753
76.3,1.051546E-02
76.35,0.8478597
76.4,3.6531
76.45,10.33377
76.5,23.79628
76.55,46.90277
76.6,82.50964
76.65,130.9687
76.7,190.1672
76.75,254.0928
76.8,316.2693
76.85,366.1096
76.9,395.3366
76.95,401.0369
77,384.5272
77.05,348.071
77.1,296.6841
77.15,236.5423
77.2,175.2953
77.25,120.7299
77.3,79.12827
77.35,50.87673
77.4,33.89818
77.45,24.41367
77.5,18.32808
77.55,14.76213
77.6,12.43279
77.65,11.10769
77.7,9.657581
77.75,8.348994
77.8,7.317095
77.85,6.49208
77.9,6.073252
77.95,5.60389
78,5.349152
78.05,5.245919
78.1,4.844433
78.15,4.464563
78.2,3.993289
78.25,3.422302
78.3,2.820501
78.35,2.358594
78.4,2.077862
78.45,1.718614
78.5,1.48137
78.55,1.24404
78.6,0.9640199
78.65,0.8104708
78.7,0.7146933
78.75,0.5093151
78.8,0.407357
78.85,0.2081015
78.9,7.084946E-02
78.95,-0.116119
79,-0.2009773
79.05,-0.2182334
79.1,-0.3037283
79.15,-0.1963394
79.2,-0.2312679
79.25,-0.3845278
79.3,-0.551614
79.35,-0.6484114
79.4,-0.6839427
79.45,-0.7958006
79.5,-0.7958064
79.55,-0.7599008
79.6,-0.8376094
79.65,-0.9111478
79.7,-0.9430214
79.75,-0.9913727
79.8,-0.9831627
79.85,-1.019577
79.9,-0.9665323
79.95,-1.018826
80,-1.067927
80.05,-1.028413
80.1,-0.9053977
80.15,-0.7909305
80.2,-0.770043
80.25,-0.7601592
80.3,-0.8433434
80.35,-0.9107227
80.4,-0.9636091
80.45,-0.9664701
