Data File Name,nk_03_06_2018_High Sensitivity DNA Assay_DE24802700_2018-03-06_15-11-01.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Tuesday, March 06, 2018 11:11:01 PM",,
Date Last Modified,"Tuesday, March 06, 2018 11:52:20 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
73.5,35.49355,,
73.55,35.70633,,
73.6,35.91755,,
73.65,35.60302,,
73.7,35.58062,,
73.75,36.11068,,
73.8,36.57268,,
73.85,37.18571,,
73.9,36.92529,,
73.95,36.67361,,
74,37.01251,,
74.05,37.65131,,
74.1,38.49485,,
74.15,39.15799,,
74.2,38.99253,,
74.25,38.78794,,
74.3,38.36432,,
74.35,38.43839,,
74.4,38.91407,,
74.45,39.68366,,
74.5,40.31424,,
74.55,40.87594,,
74.6,40.85033,,
74.65,40.7599,,
74.7,40.69697,,
74.75,40.30819,,
74.8,40.32534,,
74.85,40.6097,,
74.9,40.7494,,
74.95,41.14845,,
75,40.63673,,
75.05,40.57473,,
75.1,40.99158,,
75.15,41.40548,,
75.2,42.01015,,
75.25,42.31343,,
75.3,42.10832,,
75.35,41.75696,,
75.4,41.22089,,
75.45,41.5878,,
75.5,42.27685,,
75.55,42.83262,,
75.6,43.05033,,
75.65,42.78173,,
75.7,42.66933,,
75.75,43.14263,,
75.8,43.37234,,
75.85,43.58351,,
75.9,43.68552,,
75.95,43.85352,,
76,43.70966,,
76.05,43.60358,,
76.1,44.05387,,
76.15,44.53125,,
76.2,44.61285,,
76.25,44.64832,,
76.3,45.00915,,
76.35,45.42199,,
76.4,45.64556,,
76.45,46.26965,,
76.5,47.11124,,
76.55,47.84115,,
76.6,48.42058,,
76.65,48.62464,,
76.7,48.55457,,
76.75,48.23215,,
76.8,48.12521,,
76.85,47.8277,,
76.9,47.66248,,
76.95,47.7872,,
77,48.06839,,
77.05,48.44367,,
77.1,49.28506,,
77.15,50.02949,,
77.2,50.35137,,
77.25,50.09558,,
77.3,49.64319,,
77.35,49.71925,,
77.4,50.37332,,
77.45,50.65477,,
77.5,50.48198,,
77.55,50.09174,,
77.6,49.81358,,
77.65,50.20807,,
77.7,51.45673,,
77.75,53.38213,,
77.8,54.48386,,
77.85,54.38713,,
